days,kids,children,adults,,kids_c,children_c,adults_c
0,0,0,0,,0,0,0
7,0,0,0,,0,0,2
14,0,0,0,,2,0,5
21,0,0,0,,4,0,5
28,0,0,0,,1,0,18
35,0,0,0,,0,4,44
42,1,0,0,,10,10,60
49,0,0,0,,18,9,80
56,1,0,0,,8,8,56
63,1,0,0,,10,8,40
70,2,1,0,,5,10,20
77,1,0,0,,6,7,10
84,5,0,0,,7,6,10
91,6,0,0,,1,66,0
98,10,0,0,,1,2,0
105,16,2,1,,0,0,0
112,44,3,4,,0,0,0
119,50,9,3,,0,0,0
126,47,14,13,,0,0,0
133,52,13,5,,,,
140,54,13,14,,,,
147,41,26,8,,,,
154,11,14,11,,,,
161,7,2,2,,,,
168,2,6,1,,,,
175,0,0,1,,,,
182,0,0,0,,,,
189,0,0,1,,,,
196,0,0,0,,,,
203,0,0,0,,,,
210,0,0,0,,,,
217,0,0,0,,,,
224,0,0,0,,,,
231,0,0,0,,,,
238,0,0,0,,,,